symbol,date,open,high,low,close,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2015-05-27 00:00:00+00:00,130.34,132.26,130.05,132.045,45833246,121.6825575,121.8806851,119.8441183,120.1113601,45833246,0,1
AAPL,2015-05-28 00:00:00+00:00,131.86,131.95,131.1,131.78,30733309,121.4383538,121.5950128,120.8117179,121.5120757,30733309,0,1
AAPL,2015-05-29 00:00:00+00:00,131.23,131.45,129.9,130.28,50884452,120.0560687,121.1342511,119.7058898,120.931516,50884452,0,1
AAPL,2015-06-01 00:00:00+00:00,131.2,131.39,130.05,130.535,32112797,120.2910572,121.0789597,119.8441183,120.9038703,32112797,0,1
AAPL,2015-06-02 00:00:00+00:00,129.86,130.655,129.32,129.96,33667627,119.7611812,120.40164,119.1714063,119.6690289,33667627,0,1
AAPL,2015-06-03 00:00:00+00:00,130.66,130.94,129.9,130.12,30983542,119.908625,120.6642742,119.7058898,120.4062476,30983542,0,1
AAPL,2015-06-04 00:00:00+00:00,129.58,130.58,128.91,129.36,38450118,119.2082672,120.3325257,118.7935817,119.4110023,38450118,0,1
AAPL,2015-06-05 00:00:00+00:00,129.5,129.69,128.36,128.65,35626800,118.5539856,119.5123699,118.2867438,119.3372805,35626800,0,1
AAPL,2015-06-08 00:00:00+00:00,128.9,129.21,126.83,127.8,52674786,117.7706907,119.0700387,116.876813,118.7843664,52674786,0,1
AAPL,2015-06-09 00:00:00+00:00,126.7,128.08,125.62,127.42,56075420,117.4205118,118.0287172,115.7617697,116.757015,56075420,0,1
AAPL,2015-06-10 00:00:00+00:00,127.92,129.34,127.85,128.88,39087250,118.765936,119.1898367,117.8167669,117.8812735,39087250,0,1
AAPL,2015-06-11 00:00:00+00:00,129.18,130.18,128.475,128.59,35390887,118.4986942,119.9639164,118.392719,119.042393,35390887,0,1
AAPL,2015-06-12 00:00:00+00:00,128.185,128.33,127.11,127.17,36886246,117.1901309,118.2590981,117.1348395,118.1254772,36886246,0,1
AAPL,2015-06-15 00:00:00+00:00,126.1,127.24,125.71,126.92,43988946,116.9597501,117.2546376,115.8447068,116.2041009,43988946,0,1
AAPL,2015-06-16 00:00:00+00:00,127.03,127.85,126.37,127.6,31494131,117.586386,117.8167669,116.4529122,117.0611177,31494131,0,1
AAPL,2015-06-17 00:00:00+00:00,127.72,127.88,126.74,127.3,32918071,117.309929,117.8444126,116.7938759,117.6969688,32918071,0,1
AAPL,2015-06-18 00:00:00+00:00,127.23,128.31,127.22,127.88,35407220,117.8444126,118.2406676,117.2362071,117.2454224,35407220,0,1
AAPL,2015-06-19 00:00:00+00:00,127.71,127.82,126.4,126.6,54716887,116.6648626,117.7891212,116.4805579,117.6877536,54716887,0,1
AAPL,2015-06-22 00:00:00+00:00,127.49,128.06,127.08,127.61,34039345,117.5956012,118.0102868,117.1071938,117.4850184,34039345,0,1
AAPL,2015-06-23 00:00:00+00:00,127.48,127.61,126.8792,127.03,30268863,117.0611177,117.5956012,116.9221519,117.4758032,30268863,0,1
